Happiness Score,Economy (GDP per Capita),Family,Freedom,Trust (Government Corruption),Health (Life Expectancy),Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe
6.411,1.39541,1.08393,0.31048,0.32524,0.72025,0,0,0,0,1,0,0,0,0,0
6.329,1.23011,1.31379,0.45951,0.06398,0.95562,0,0,0,0,0,0,0,0,0,1
6.302,1.2074,1.30203,0.60365,0.13586,0.88721,0,0,0,0,0,0,0,0,0,1
6.298,1.29098,1.07617,0.3974,0.08129,0.8753,0,0,1,0,0,0,0,0,0,0
6.295,1.55422,1.16594,0.55499,0.25609,0.72492,0,0,0,0,1,0,0,0,0,0
6.269,0.99534,0.972,0.59657,0.13633,0.6082,0,0,0,1,0,0,0,0,0,0
6.168,1.21183,1.18354,0.55884,0.0114,0.61483,0,0,0,1,0,0,0,0,0,0
6.13,0.76454,1.02507,0.4035,0.11776,0.67737,0,0,0,1,0,0,0,0,0,0
6.123,0.74553,1.04356,0.57733,0.09472,0.64425,0,0,0,1,0,0,0,0,0,0
6.003,0.63244,1.34043,0.65821,0.30826,0.59772,0,1,0,0,0,0,0,0,0,0
5.995,1.16891,1.26999,0.31751,0.03431,0.78902,0,1,0,0,0,0,0,0,0,0
5.987,1.27074,1.25712,0.49615,0.1806,0.99111,0,0,1,0,0,0,0,0,0,0
5.984,1.24461,0.95774,0.33208,0.07857,0.96538,0,0,1,0,0,0,0,0,0,0
5.975,0.86402,0.99903,0.48574,0.1809,0.79075,0,0,0,1,0,0,0,0,0,0
5.96,1.32376,1.21624,0.45492,0.306,0.74716,0,0,0,0,1,0,0,0,0,0
5.948,1.25114,1.19777,0.26236,0.02901,0.95446,0,0,0,0,0,0,0,0,0,1
5.89,0.68133,0.97841,0.57414,0.088,0.5392,0,0,0,1,0,0,0,0,0,0
5.889,0.59448,1.01528,0.32818,0.01615,0.61826,0,1,0,0,0,0,0,0,0,0
5.878,0.75985,1.30477,0.53899,0.08242,0.66098,0,0,0,1,0,0,0,0,0,0
5.855,1.12254,1.12241,0.51649,0.08454,0.64368,0,1,0,0,0,0,0,0,0,0
5.848,1.18498,1.27385,0.60855,0.03787,0.87337,0,1,0,0,0,0,0,0,0,0
5.833,1.14723,1.25745,0.21342,0.01031,0.73128,0,1,0,0,0,0,0,0,0,0
5.828,0.59325,1.14184,0.55475,0.19317,0.74314,0,0,0,1,0,0,0,0,0,0
5.824,0.90019,0.97459,0.41496,0.05989,0.73017,0,0,0,1,0,0,0,0,0,0
5.813,1.03192,1.23289,0.37938,0.1909,0.73608,0,1,0,0,0,0,0,0,0,0
5.791,1.12555,1.27948,0.53122,0.04212,0.77903,0,1,0,0,0,0,0,0,0,0
5.77,1.12486,1.07023,0.53024,0.10501,0.72394,0,0,0,0,0,0,1,0,0,0
5.759,1.08254,0.79624,0.25883,0.0243,0.78805,0,1,0,0,0,0,0,0,0,0
5.754,1.13145,1.11862,0.41668,0.11023,0.7038,0,0,0,0,1,0,0,0,0,0
5.716,1.13764,1.23617,0.36679,0.03005,0.66926,0,1,0,0,0,0,0,0,0,0
5.709,0.81038,1.15102,0.50442,0.02299,0.68741,0,0,0,1,0,0,0,0,0,0
5.695,1.20806,1.07008,0.49027,0.1428,0.92356,0,0,0,0,0,0,0,0,0,1
5.689,1.20813,0.89318,0.40672,0.06146,0.92356,0,0,0,0,0,0,0,0,0,1
5.605,0.93929,1.07772,0.28579,0.17383,0.61766,0,0,0,0,1,0,0,0,0,0
5.589,0.80148,0.81198,0.24749,0.04741,0.63132,0,1,0,0,0,0,0,0,0,0
5.548,0.95847,1.22668,0.4761,0.30844,0.53886,0,1,0,0,0,0,0,0,0,0
5.477,1.00761,0.98521,0.56066,0.07521,0.7095,0,0,0,0,0,0,0,0,1,0
5.474,1.38604,1.05818,0.59608,0.37124,1.01328,0,0,1,0,0,0,0,0,0,0
5.429,1.15174,1.22791,0.44888,0.15184,0.77361,0,1,0,0,0,0,0,0,0,0
5.399,0.82827,1.08708,0.46611,0.0,0.63793,0,0,0,0,0,0,1,0,0,0
5.36,0.63216,0.91226,0.59444,0.10441,0.74676,0,0,0,0,0,0,1,0,0,0
5.332,1.06098,0.94632,0.22815,0.15746,0.73172,0,0,0,0,1,0,0,0,0,0
5.286,0.47428,1.15115,0.43477,0.04232,0.65088,0,1,0,0,0,0,0,0,0,0
5.268,0.65435,0.90432,0.34334,0.0403,0.16007,0,0,0,0,0,0,0,0,1,0
5.253,0.77042,1.10395,0.53206,0.15445,0.57407,0,0,0,0,0,0,0,1,0,0
5.212,1.02389,0.93793,0.3703,0.16065,0.64045,0,1,0,0,0,0,0,0,0,0
5.194,0.59543,0.41411,0.12102,0.10464,0.51466,0,0,0,0,0,0,0,1,0,0
5.192,0.90198,1.05392,0.40661,0.14293,0.69639,0,0,0,0,1,0,0,0,0,0
5.192,0.97438,0.90557,0.1826,0.14296,0.72521,0,1,0,0,0,0,0,0,0,0
5.14,0.89012,0.94675,0.51697,0.02781,0.81658,0,0,1,0,0,0,0,0,0,0
5.129,0.47038,0.91612,0.48827,0.12468,0.29924,0,0,0,0,0,0,0,0,1,0
5.124,1.04345,0.88588,0.35068,0.00649,0.7689,0,1,0,0,0,0,0,0,0,0
5.123,0.92053,1.00964,0.20107,0.02617,0.74836,0,1,0,0,0,0,0,0,0,0
5.102,1.15991,1.13935,0.51469,0.01078,0.87519,0,0,0,0,0,0,0,0,0,1
5.098,1.11312,1.09562,0.29671,0.06332,0.72437,0,1,0,0,0,0,0,0,0,0
5.073,0.70532,1.03516,0.62545,0.12279,0.58114,0,0,0,0,0,0,1,0,0,0
5.057,0.18847,0.95152,0.46582,0.39928,0.43873,0,0,0,0,0,0,0,0,1,0
5.013,0.73479,0.64095,0.41691,0.08546,0.60954,0,0,0,0,1,0,0,0,0,0
5.007,0.91851,1.00232,0.33457,0.05327,0.73545,0,1,0,0,0,0,0,0,0,0
4.971,0.08308,1.02626,0.34037,0.15603,0.09131,0,0,0,0,0,0,0,0,1,0
4.959,0.87867,0.80434,0.35733,0.06413,0.81325,0,1,0,0,0,0,0,0,0,0
4.949,0.83223,0.91916,0.09245,0.00227,0.79081,0,1,0,0,0,0,0,0,0,0
4.898,0.37545,1.04103,0.31767,0.12504,0.07612,0,0,0,0,0,0,0,0,1,0
4.885,0.89537,1.17202,0.57672,0.14234,0.66825,0,0,0,1,0,0,0,0,0,0
4.876,0.59066,0.73803,0.59591,0.24249,0.54909,0,0,0,0,0,0,1,0,0,0
4.874,0.82819,1.3006,0.43626,0.02666,0.60268,0,0,1,0,0,0,0,0,0,0
4.867,0.71206,1.07284,0.30658,0.0306,0.07566,0,0,0,0,0,0,0,0,1,0
4.857,1.15406,0.92933,0.07699,0.01397,0.88213,0,0,0,0,0,0,0,0,0,1
4.839,1.02564,0.80001,0.33916,0.04582,0.83947,0,0,0,0,1,0,0,0,0,0
4.8,1.12094,1.20215,0.32112,0.02758,0.75905,0,1,0,0,0,0,0,0,0,0
4.788,0.59532,0.95348,0.40148,0.06825,0.6951,0,0,0,1,0,0,0,0,0,0
4.786,0.39047,0.85563,0.47216,0.15072,0.57379,0,1,0,0,0,0,0,0,0,0
4.739,0.88113,0.60429,0.26268,0.06358,0.73793,0,0,0,0,1,0,0,0,0,0
4.715,0.59867,0.92558,0.24499,0.12905,0.66015,0,0,0,0,1,0,0,0,0,0
4.694,0.39753,0.43106,0.4082,0.12569,0.60164,0,0,0,0,0,0,0,1,0,0
4.686,1.0088,0.54447,0.30033,0.05863,0.69805,0,0,0,0,1,0,0,0,0,0
4.681,0.79907,1.20278,0.25123,0.02961,0.6739,0,1,0,0,0,0,0,0,0,0
4.677,0.98549,0.81889,0.0,0.13788,0.60237,0,0,0,0,1,0,0,0,0,0
4.642,0.92049,1.18468,0.33207,0.08884,0.27688,0,0,0,0,0,0,0,0,1,0
4.633,0.54558,0.67954,0.42342,0.04355,0.40132,0,0,0,0,0,0,0,0,1,0
4.61,0.271,1.03276,0.25861,0.08079,0.33475,0,0,0,0,0,0,0,0,1,0
4.571,0.0712,0.78968,0.28531,0.06232,0.34201,0,0,0,0,0,0,0,0,1,0
4.565,0.64499,0.38174,0.39786,0.08492,0.51529,0,0,0,0,0,0,0,1,0,0
4.55,0.52107,1.01404,0.10081,0.1466,0.36878,0,0,0,0,0,0,0,0,1,0
4.518,0.26673,0.74302,0.24425,0.17175,0.38847,0,0,0,1,0,0,0,0,0,0
4.517,0.0,1.0012,0.22605,0.07625,0.09806,0,0,0,0,0,0,0,0,1,0
4.514,0.35997,0.86449,0.38282,0.05907,0.56874,0,0,0,0,0,0,0,1,0,0
4.512,0.19073,0.60406,0.4345,0.15048,0.44055,0,0,0,0,0,0,0,0,1,0
4.507,0.33024,0.95571,0.4084,0.08786,0.0,0,0,0,0,0,0,0,0,1,0
4.436,0.45407,0.86908,0.24232,0.17461,0.35874,0,0,0,0,0,0,0,0,1,0
4.419,0.36471,0.99876,0.42215,0.05839,0.41435,0,0,0,0,0,0,0,0,1,0
4.369,0.44025,0.59207,0.46074,0.28105,0.36291,0,0,0,0,0,0,0,0,1,0
4.35,0.76821,0.77711,0.19847,0.039,0.7299,0,1,0,0,0,0,0,0,0,0
4.332,0.99355,1.10464,0.49495,0.12474,0.04776,0,0,0,0,0,0,0,0,1,0
4.307,0.27108,0.70905,0.44017,0.19034,0.48246,0,0,0,0,0,0,1,0,0,0
4.297,0.7419,0.38562,0.40577,0.38331,0.72926,0,1,0,0,0,0,0,0,0,0
4.292,0.01604,0.41134,0.43054,0.06977,0.22562,0,0,0,0,0,0,0,0,1,0
4.271,0.83524,1.01905,0.53726,0.09179,0.70806,0,0,0,0,0,0,0,1,0,0
4.252,0.4225,0.88767,0.49309,0.05786,0.23402,0,0,0,0,0,0,0,0,1,0
4.218,1.01216,1.10614,0.30587,0.00872,0.76649,0,1,0,0,0,0,0,0,0,0
4.194,0.8818,0.747,0.17288,0.06324,0.61712,0,0,0,0,1,0,0,0,0,0
4.077,0.54649,0.68093,0.35571,0.07854,0.40064,0,0,0,0,1,0,0,0,0,0
4.033,0.75778,0.8604,0.10384,0.07122,0.16683,0,0,0,0,0,0,0,0,1,0
3.995,0.26074,1.03526,0.38857,0.12352,0.20583,0,0,0,0,0,0,0,0,1,0
3.989,0.67866,0.6629,0.41466,0.11686,0.31051,0,0,0,0,0,0,0,0,1,0
3.956,0.23906,0.79273,0.22917,0.199,0.36315,0,0,0,0,0,0,0,0,1,0
3.931,0.21102,1.13299,0.45727,0.07267,0.33861,0,0,0,0,0,0,0,0,1,0
3.904,0.36498,0.97619,0.36772,0.10713,0.4354,0,0,0,0,0,0,0,0,1,0
3.896,1.06024,0.90528,0.31914,0.11091,0.43372,0,0,0,0,0,0,0,0,1,0
3.845,0.0694,0.77265,0.47692,0.15639,0.29707,0,0,0,0,0,0,0,0,1,0
3.819,0.46038,0.62736,0.66246,0.07247,0.61114,0,0,0,0,0,0,1,0,0,0
3.781,0.2852,1.00268,0.32878,0.05747,0.38215,0,0,0,0,0,0,0,0,1,0
3.681,0.20824,0.66801,0.19184,0.08124,0.46721,0,0,0,0,0,0,0,0,1,0
3.678,0.0785,0.0,0.48879,0.08289,0.06699,0,0,0,0,0,0,0,0,1,0
3.667,0.34193,0.76062,0.23501,0.05269,0.1501,0,0,0,0,0,0,0,0,1,0
3.656,0.17417,0.46475,0.37725,0.12139,0.24009,0,0,0,0,0,0,0,0,1,0
3.655,0.46534,0.77115,0.46866,0.17922,0.15185,0,0,0,0,0,0,0,0,1,0
3.587,0.25812,0.85188,0.39493,0.12832,0.27125,0,0,0,0,0,0,0,0,1,0
3.575,0.31982,0.30285,0.23414,0.09719,0.30335,0,0,0,0,0,0,0,1,0,0
3.465,0.22208,0.7737,0.59201,0.55191,0.42864,0,0,0,0,0,0,0,0,1,0
3.34,0.28665,0.35386,0.4845,0.0801,0.3191,0,0,0,0,0,0,0,0,1,0
3.006,0.6632,0.47489,0.15684,0.18906,0.72193,0,0,0,0,1,0,0,0,0,0
2.905,0.0153,0.41587,0.1185,0.10062,0.22396,0,0,0,0,0,0,0,0,1,0
2.839,0.20868,0.13995,0.36453,0.10731,0.28443,0,0,0,0,0,0,0,0,1,0
7.526,1.44178,1.16374,0.57941,0.44453,0.79504,0,0,0,0,0,0,0,0,0,1
7.509,1.52733,1.14524,0.58557,0.41203,0.86303,0,0,0,0,0,0,0,0,0,1
7.501,1.42666,1.18326,0.56624,0.14975,0.86733,0,0,0,0,0,0,0,0,0,1
7.498,1.57744,1.1269,0.59609,0.35776,0.79579,0,0,0,0,0,0,0,0,0,1
7.413,1.40598,1.13464,0.57104,0.41004,0.81091,0,0,0,0,0,0,0,0,0,1
7.404,1.44015,1.0961,0.5737,0.31329,0.8276,0,0,0,0,0,1,0,0,0,0
7.339,1.46468,1.02912,0.55211,0.29927,0.81231,0,0,0,0,0,0,0,0,0,1
7.334,1.36066,1.17278,0.58147,0.41904,0.83096,1,0,0,0,0,0,0,0,0,0
7.313,1.44443,1.10476,0.56837,0.32331,0.8512,1,0,0,0,0,0,0,0,0,0
7.291,1.45181,1.08764,0.58218,0.40867,0.83121,0,0,0,0,0,0,0,0,0,1
7.267,1.33766,0.99537,0.36432,0.08728,0.84917,0,0,0,0,1,0,0,0,0,0
7.119,1.45038,1.08383,0.54355,0.21348,0.80565,0,0,0,0,0,0,0,0,0,1
7.104,1.50796,1.04782,0.48163,0.14868,0.779,0,0,0,0,0,1,0,0,0,0
7.087,1.06879,1.02152,0.55225,0.10547,0.76146,0,0,0,1,0,0,0,0,0,0
7.039,1.35943,1.08113,0.46823,0.12275,0.77758,0,0,0,1,0,0,0,0,0,0
6.994,1.44787,1.09774,0.53466,0.28551,0.81487,0,0,0,0,0,0,0,0,0,1
6.952,1.08754,1.03938,0.40425,0.14166,0.61415,0,0,0,1,0,0,0,0,0,0
6.929,1.42539,1.05249,0.51354,0.26248,0.81959,0,0,0,0,0,0,0,0,0,1
6.907,1.48341,1.16157,0.54008,0.29754,0.81455,0,0,0,0,0,0,0,0,0,1
6.871,1.69752,1.03999,0.5487,0.35329,0.84542,0,0,0,0,0,0,0,0,0,1
6.778,1.11508,0.7146,0.37709,0.18355,0.71143,0,0,0,1,0,0,0,0,0,0
6.739,1.64555,0.86758,0.4877,0.46987,0.94719,0,0,0,0,0,0,1,0,0,0
6.725,1.40283,1.08672,0.50036,0.27399,0.80991,0,0,0,0,0,0,0,0,0,1
6.705,1.2167,0.90587,0.37789,0.11451,0.81883,0,0,0,1,0,0,0,0,0,0
6.701,1.18306,0.98912,0.48927,0.08423,0.70835,0,0,0,1,0,0,0,0,0,0
6.65,1.15137,1.06612,0.42284,0.07296,0.69711,0,0,0,1,0,0,0,0,0,0
6.596,1.30915,1.00793,0.41418,0.03986,0.76376,0,1,0,0,0,0,0,0,0,0
6.573,1.57352,0.87114,0.56215,0.35561,0.72993,0,0,0,0,1,0,0,0,0,0
6.545,1.18157,1.03143,0.54388,0.21394,0.72183,0,0,0,1,0,0,0,0,0,0
6.488,1.30782,1.09879,0.54994,0.17554,0.80315,0,0,0,0,0,0,0,0,0,1
6.481,1.03032,1.02169,0.44735,0.05399,0.59659,0,0,0,1,0,0,0,0,0,0
6.478,1.39488,1.00508,0.46562,0.17808,0.83795,0,0,0,0,0,0,0,0,0,1
6.474,1.0893,1.04477,0.49553,0.02833,0.64915,0,0,0,0,0,0,1,0,0,0
6.379,1.48953,0.84829,0.37904,0.30008,0.59267,0,0,0,0,1,0,0,0,0,0
6.379,1.39729,0.92624,0.32377,0.0663,0.79565,0,0,1,0,0,0,0,0,0,0
6.375,1.82427,0.87964,0.56679,0.48049,0.71723,0,0,0,0,1,0,0,0,0,0
6.361,1.34253,1.12945,0.37545,0.06137,0.87896,0,0,0,0,0,0,0,0,0,1
6.355,1.05266,0.83309,0.21006,0.16157,0.61804,0,0,0,0,1,0,0,0,0,0
6.324,0.83454,0.87119,0.50379,0.08701,0.54039,0,0,0,1,0,0,0,0,0,0
6.269,1.09686,0.77866,0.52234,0.12692,0.50933,0,0,0,1,0,0,0,0,0,0
6.239,1.61714,0.87758,0.43166,0.23669,0.63569,0,0,0,0,1,0,0,0,0,0
6.218,1.44024,0.94397,0.47375,0.25772,0.65696,0,0,0,0,1,0,0,0,0,0
6.168,1.32572,0.98569,0.48453,0.01241,0.52608,0,0,0,1,0,0,0,0,0,0
6.084,1.13367,1.03302,0.19847,0.08304,0.61904,0,0,0,1,0,0,0,0,0,0
6.078,1.27973,1.08268,0.23391,0.02947,0.70367,0,1,0,0,0,0,0,0,0,0
6.068,0.8737,0.80975,0.37269,0.10613,0.596,0,0,0,1,0,0,0,0,0,0
6.005,1.25142,0.88025,0.39031,0.09081,0.62366,0,0,0,0,0,0,1,0,0,0
5.992,0.69384,0.89521,0.46582,0.16292,0.65213,0,0,0,1,0,0,0,0,0,0
5.987,0.73591,1.1681,0.60848,0.28333,0.50163,0,1,0,0,0,0,0,0,0,0
5.977,1.35495,1.04167,0.18827,0.02556,0.85102,0,0,0,0,0,0,0,0,0,1
5.976,0.97306,0.85974,0.4027,0.18037,0.68613,0,0,0,1,0,0,0,0,0,0
5.956,0.87616,0.68655,0.51231,0.10771,0.45569,0,0,0,1,0,0,0,0,0,0
5.921,1.38007,1.06054,0.46761,0.18985,0.91491,0,0,1,0,0,0,0,0,0,0
5.919,1.22943,0.95544,0.4052,0.11132,0.57386,0,1,0,0,0,0,0,0,0,0
5.897,0.69177,0.83132,0.25202,0.01903,0.52309,0,1,0,0,0,0,0,0,0,0
5.856,1.23228,1.05261,0.32682,0.03586,0.58991,0,1,0,0,0,0,0,0,0,0
5.835,1.24585,1.04685,0.4519,0.055,0.69058,0,1,0,0,0,0,0,0,0,0
5.835,1.35948,0.72194,0.25168,0.07716,0.88645,0,0,1,0,0,0,0,0,0,0
5.822,0.79422,0.83779,0.50961,0.07746,0.4697,0,0,0,1,0,0,0,0,0,0
5.813,1.2692,1.06411,0.18929,0.0182,0.64674,0,1,0,0,0,0,0,0,0,0
5.802,1.13062,1.04993,0.29091,0.17457,0.63104,0,1,0,0,0,0,0,0,0,0
5.771,1.31141,0.81826,0.43596,0.16578,0.84142,0,0,0,0,0,0,0,0,0,1
5.768,1.29947,1.05613,0.53164,0.03635,0.79151,0,1,0,0,0,0,0,0,0,0
5.743,0.99602,0.81255,0.37502,0.05292,0.62994,0,0,0,1,0,0,0,0,0,0
5.658,1.08017,1.03817,0.37408,0.28467,0.44006,0,1,0,0,0,0,0,0,0,0
5.648,1.14372,0.75695,0.46145,0.05203,0.66189,0,0,0,0,0,0,0,0,1,0
5.615,1.06688,0.95076,0.40672,0.10339,0.52304,0,0,0,0,1,0,0,0,0,0
5.56,1.21788,0.95025,0.27996,0.0889,0.63952,0,1,0,0,0,0,0,0,0,0
5.546,1.31857,0.70697,0.29507,0.05228,0.8488,0,0,0,0,0,0,0,0,0,1
5.538,0.89373,1.11111,0.46235,0.07396,0.58295,0,0,0,1,0,0,0,0,0,0
5.528,1.1697,0.72803,0.36712,0.00679,0.67602,0,1,0,0,0,0,0,0,0,0
5.517,1.27964,1.05163,0.41511,0.18519,0.68098,0,1,0,0,0,0,0,0,0,0
5.51,0.89333,0.96372,0.43597,0.04294,0.59469,0,0,0,1,0,0,0,0,0,0
5.488,1.18649,0.60809,0.23907,0.04002,0.70524,0,1,0,0,0,0,0,0,0,0
5.458,1.5107,0.87021,0.48079,0.31647,0.95277,0,0,1,0,0,0,0,0,0,0
5.44,0.0,0.33613,0.56778,0.3118,0.11466,0,0,0,0,0,0,0,0,1,0
5.401,0.90145,0.66062,0.14396,0.06547,0.54,0,1,0,0,0,0,0,0,0,0
5.389,1.16492,0.87717,0.23889,0.12348,0.64718,0,0,0,0,1,0,0,0,0,0
5.314,0.95104,0.87625,0.39237,0.00322,0.49374,0,0,0,0,0,0,1,0,0,0
5.303,0.99673,0.86216,0.36023,0.13297,0.60712,0,0,0,0,1,0,0,0,0,0
5.291,1.12373,0.76042,0.35327,0.17914,0.54504,0,1,0,0,0,0,0,0,0,0
5.279,0.81217,0.87877,0.54854,0.11757,0.47036,0,0,0,0,0,0,1,0,0,0
5.245,1.0278,0.79381,0.44012,0.02745,0.73561,0,0,1,0,0,0,0,0,0,0
5.196,0.8527,0.90836,0.46074,0.1616,0.49759,0,0,0,0,0,0,0,1,0,0
5.185,0.56044,0.95434,0.40212,0.04762,0.55449,0,1,0,0,0,0,0,0,0,0
5.177,1.03437,0.81329,0.15718,0.04339,0.6458,0,1,0,0,0,0,0,0,0,0
5.163,0.93383,0.64367,0.09511,0.0,0.70766,0,1,0,0,0,0,0,0,0,0
5.161,1.07838,0.74173,0.15111,0.12721,0.63533,0,1,0,0,0,0,0,0,0,0
5.155,1.02787,0.99496,0.52259,0.12372,0.57669,0,0,0,1,0,0,0,0,0,0
5.151,0.84058,0.38595,0.25646,0.08404,0.59471,0,0,0,0,1,0,0,0,0,0
5.145,1.24142,0.93164,0.1977,0.04472,0.67608,0,1,0,0,0,0,0,0,0,0
5.132,0.68816,0.26135,0.14622,0.1388,0.40306,0,0,0,0,0,0,0,1,0,0
5.129,1.12268,0.64184,0.26228,0.03061,0.76171,0,0,0,0,1,0,0,0,0,0
5.123,1.27607,0.94367,0.44727,0.01521,0.79363,0,0,0,0,0,0,0,0,0,1
5.121,1.0193,0.78236,0.27668,0.07047,0.64738,0,1,0,0,0,0,0,0,0,0
5.061,0.74037,0.79117,0.55954,0.11556,0.66157,0,0,0,0,0,0,1,0,0,0
5.057,0.25558,0.75862,0.3913,0.36794,0.33108,0,0,0,0,0,0,0,0,1,0
5.045,0.97724,0.43165,0.23553,0.0817,0.59577,0,0,0,0,1,0,0,0,0,0
5.033,1.24886,0.75473,0.05822,0.04127,0.80029,0,0,0,0,0,0,0,0,0,1
4.996,0.48835,0.75602,0.43408,0.13509,0.53119,0,1,0,0,0,0,0,0,0,0
4.907,0.98853,1.08983,0.35972,0.03285,0.55469,0,0,1,0,0,0,0,0,0,0
4.876,0.68042,0.5497,0.52168,0.22423,0.38291,0,0,0,0,0,0,1,0,0,0
4.875,0.75216,0.64498,0.27854,0.0305,0.05108,0,0,0,0,0,0,0,0,1,0
4.871,0.69429,0.75596,0.26755,0.06906,0.58383,0,0,0,1,0,0,0,0,0,0
4.813,1.11758,0.38857,0.22544,0.0557,0.64232,0,0,0,0,1,0,0,0,0,0
4.795,0.61202,0.6376,0.42662,0.11479,0.23573,0,0,0,0,0,0,0,0,1,0
4.793,0.44626,0.69699,0.37012,0.07008,0.50073,0,0,0,0,0,0,0,1,0,0
4.754,0.67024,0.71629,0.17744,0.10613,0.56844,0,0,0,0,1,0,0,0,0,0
4.655,0.9553,0.50163,0.31866,0.05301,0.73007,0,1,0,0,0,0,0,0,0,0
4.643,0.54177,0.24749,0.39778,0.12583,0.52989,0,0,0,0,0,0,0,1,0,0
4.635,0.36485,0.628,0.30685,0.08196,0.0,0,0,0,0,0,0,0,0,1,0
4.575,1.07474,0.59205,0.24856,0.13636,0.51076,0,0,0,0,1,0,0,0,0,0
4.574,0.93287,0.70362,0.48614,0.10398,0.34745,0,0,0,0,0,0,0,0,1,0
4.513,0.52497,0.62542,0.42736,0.06126,0.12698,0,0,0,0,0,0,0,0,1,0
4.508,0.29283,0.37932,0.36703,0.1717,0.34578,0,0,0,0,0,0,0,0,1,0
4.459,1.02416,0.96053,0.42483,0.08415,0.18611,0,0,0,0,0,0,0,0,1,0
4.415,0.97318,0.84783,0.50817,0.07964,0.62007,0,0,0,0,0,0,0,1,0,0
4.404,0.74036,0.29247,0.40285,0.08722,0.45091,0,0,0,0,0,0,0,1,0,0
4.395,0.34112,0.69981,0.42692,0.20243,0.3988,0,0,0,0,0,0,1,0,0,0
4.362,0.95395,0.49813,0.18847,0.10393,0.52116,0,0,0,0,1,0,0,0,0,0
4.36,0.86086,0.62477,0.14037,0.03616,0.64083,0,1,0,0,0,0,0,0,0,0
